Bath(s),Bedroom(s),Area_Marlas,Price_per_Marla,Is_Luxury,Type_house,Location_Tier_Low-end,Location_Tier_Mid-range,Size_Category_Medium,Size_Category_Small
2,2,5.0,980000.0,0,True,True,False,True,False
4,4,10.0,3250000.0,0,True,False,True,True,False
4,4,3.0,4000000.0,0,True,False,True,False,True
6,5,7.0,3285714.285714286,0,True,False,True,True,False
6,5,20.0,8000000.0,0,True,False,False,False,False
5,5,10.0,5500000.0,0,True,False,True,True,False
5,5,10.0,5400000.0,0,True,False,False,True,False
3,3,3.0,3833333.3333333335,0,True,False,True,False,True
5,5,20.0,6250000.0,0,True,False,False,False,False
3,3,3.0,3933333.3333333335,0,True,False,True,False,True
6,5,20.0,3750000.0,0,True,False,False,False,False
5,5,20.0,3125000.0,0,True,False,False,False,False
6,5,40.0,4000000.0,0,True,False,False,False,False
5,4,10.0,3750000.0,0,True,False,False,True,False
4,3,5.0,5400000.0,0,True,False,False,True,False
5,5,10.0,4750000.0,0,True,False,True,True,False
6,5,20.0,5375000.0,0,True,False,False,False,False
6,5,20.0,4500000.0,0,True,False,False,False,False
5,5,12.0,3083333.3333333335,0,True,False,True,False,False
4,4,5.0,4600000.0,0,True,False,True,True,False
3,3,4.2,3928571.4285714286,0,True,False,True,False,True
5,5,11.0,2636363.6363636362,0,True,False,True,False,False
6,4,10.0,6000000.0,0,True,False,False,True,False
5,3,5.0,4000000.0,0,True,False,False,True,False
6,5,20.0,3750000.0,0,True,False,False,False,False
1,1,1.4,9071428.571428573,0,False,False,False,False,True
6,5,20.0,4125000.0,0,True,False,False,False,False
6,5,20.0,4500000.0,0,True,False,False,False,False
2,2,2.4,8708333.333333334,0,False,False,False,False,True
4,3,8.7,6091954.022988507,0,False,False,False,True,False
1,1,1.5,9000000.0,0,False,False,False,False,True
6,5,20.0,2995000.0,0,True,False,False,False,False
6,5,20.0,3575000.0,0,True,False,False,False,False
6,6,40.0,3247500.0,1,True,False,False,False,False
1,1,2.0,4215000.0,0,False,False,True,False,True
6,6,40.0,2875000.0,1,True,False,False,False,False
3,2,3.0,1500000.0,0,True,False,True,False,True
3,2,3.0,1500000.0,0,True,False,True,False,True
6,5,32.0,4375000.0,0,True,False,True,False,False
6,5,20.0,4000000.0,0,True,False,False,False,False
6,5,20.0,3500000.0,0,True,False,False,False,False
6,5,12.0,3083333.3333333335,0,True,False,True,False,False
6,4,10.0,4600000.0,0,True,False,False,True,False
4,4,5.0,3700000.0,0,True,True,False,True,False
5,5,10.0,5000000.0,0,True,False,True,True,False
6,5,20.0,2825000.0,0,True,False,False,False,False
6,5,20.0,2550000.0,0,True,False,False,False,False
5,4,10.0,4960000.0,0,True,False,False,True,False
4,3,5.0,3700000.0,0,True,False,True,True,False
6,5,40.0,6000000.0,0,True,False,False,False,False
6,5,20.0,6000000.0,0,True,False,False,False,False
6,6,40.0,3225000.0,1,True,False,True,False,False
6,5,10.0,3600000.0,0,True,False,True,True,False
6,6,40.0,4750000.0,1,True,False,True,False,False
3,3,7.0,4571428.571428572,0,True,False,False,True,False
3,2,4.0,2125000.0,0,True,False,True,False,True
6,5,13.0,3076923.076923077,0,True,False,True,False,False
6,5,20.0,4650000.0,0,True,False,False,False,False
6,5,20.0,3750000.0,0,True,False,False,False,False
6,5,20.0,3475000.0,0,True,False,False,False,False
6,5,20.0,3900000.0,0,True,False,False,False,False
6,5,20.0,6000000.0,0,True,False,False,False,False
6,5,20.0,4075000.0,0,True,False,False,False,False
6,5,10.0,3000000.0,0,True,False,True,True,False
6,5,20.0,2625000.0,0,True,False,False,False,False
6,5,20.0,2900000.0,0,True,False,False,False,False
3,3,5.1,5196078.431372549,0,True,False,True,True,False
6,5,20.0,3875000.0,0,True,False,True,False,False
6,5,20.0,3825000.0,0,True,False,False,False,False
6,5,20.0,3900000.0,0,True,False,False,False,False
6,5,10.0,3450000.0,0,True,False,True,True,False
3,3,5.0,2000000.0,0,True,False,True,True,False
4,4,10.0,3500000.0,0,True,False,True,True,False
3,3,5.0,4500000.0,0,True,False,False,True,False
5,4,10.0,3950000.0,0,True,False,False,True,False
6,3,5.0,3700000.0,0,True,False,True,True,False
3,3,5.0,4500000.0,0,True,False,False,True,False
6,5,40.0,9250000.0,0,True,False,False,False,False
6,5,20.0,5250000.0,0,True,False,False,False,False
3,2,5.0,2600000.0,0,True,False,True,True,False
6,5,10.0,4400000.0,0,True,False,False,True,False
5,4,5.0,2700000.0,0,True,False,True,True,False
6,5,20.0,3750000.0,0,True,False,False,False,False
6,5,8.0,3475000.0,0,True,True,False,True,False
5,4,10.0,4630000.0,0,True,False,False,True,False
3,3,3.0,2833333.3333333335,0,True,False,True,False,True
4,3,3.0,3233333.3333333335,0,True,True,False,False,True
6,5,20.0,3800000.0,0,True,False,False,False,False
1,1,1.6,3125000.0,0,False,False,True,False,True
6,5,20.0,4250000.0,0,True,False,False,False,False
5,4,10.0,4250000.0,0,True,False,False,True,False
6,5,20.0,4125000.0,0,True,False,False,False,False
6,5,40.0,4312500.0,0,True,False,False,False,False
5,4,10.0,6750000.0,0,True,False,False,True,False
6,7,40.0,4475000.0,1,True,False,False,False,False
6,4,10.0,3650000.0,0,True,False,False,True,False
6,5,20.0,4000000.0,0,True,False,False,False,False
6,5,20.0,2995000.0,0,True,False,False,False,False
6,5,20.0,3175000.0,0,True,False,False,False,False
6,5,20.0,3750000.0,0,True,False,False,False,False
6,5,20.0,3975000.0,0,True,False,False,False,False
3,3,10.0,2600000.0,0,False,False,False,True,False
5,4,10.0,5100000.0,0,True,False,False,True,False
6,5,20.0,4125000.0,0,True,False,False,False,False
6,5,30.0,3316666.6666666665,0,True,False,True,False,False
6,5,20.0,4000000.0,0,True,False,False,False,False
6,5,20.0,3375000.0,0,True,False,False,False,False
6,6,20.0,4250000.0,1,True,False,False,False,False
5,4,10.0,3800000.0,0,True,False,False,True,False
